100, 0, 100;     200, 0, 100;     200, 100, 100;     100, 100, 100; 255, 0, 0;
100, 0, 100;     100, 0, 200;     100, 100, 200;     100, 100, 100; 255, 0, 0;
200, 0, 100;     200, 0, 200;     200, 100, 200;     200, 100, 100; 255, 0, 0;
100, 0, 200;     200, 0, 200;     200, 100, 200;     100, 100, 200; 255, 0, 0;
100, 0, 100;     200, 0, 100;     200, 0,   200;     100, 0, 200; 255, 0, 0;
100, 100, 100;     200, 100, 100;     200, 100,   200;     100, 100, 200; 255, 0, 0;
300, 0, 100;     400, 0, 100;     400, 100, 100;     300, 100, 100; 0, 255, 0;
300, 0, 100;     300, 0, 200;     300, 100, 200;     300, 100, 100; 0, 255, 0;
400, 0, 100;     400, 0, 200;     400, 100, 200;     400, 100, 100; 0, 255, 0;
300, 0, 200;     400, 0, 200;     400, 100, 200;     300, 100, 200; 0, 255, 0;
300, 0, 100;     400, 0, 100;     400, 0,   200;     300, 0, 200; 0, 255, 0;
300, 100, 100;     400, 100, 100;     400, 100,  200;  300, 100, 200; 0, 255, 0;
100, 0, 300;     200, 0, 300;     200, 100, 300;     100, 100, 300; 0, 0, 255;
100, 0, 300;     100, 0, 400;     100, 100, 400;     100, 100, 300; 0, 0, 255;
200, 0, 300;     200, 0, 400;     200, 100, 400;     200, 100, 300; 0, 0, 255;
100, 0, 400;     200, 0, 400;     200, 100, 400;     100, 100, 400; 0, 0, 255;
100, 0, 300;     200, 0, 300;     200, 0,   400;     100, 0, 400; 0, 0, 255;
100, 100, 300;   200, 100, 300;   200, 100, 400;     100, 100, 400; 0, 0, 255;
300, 0, 300;     400, 0, 300;     400, 100, 300;     300, 100, 300; 255, 255, 0;
300, 0, 300;     300, 0, 400;     300, 100, 400;     300, 100, 300; 255, 255, 0;
400, 0, 300;     400, 0, 400;     400, 100, 400;     400, 100, 300; 255, 255, 0;
300, 0, 400;     400, 0, 400;     400, 100, 400;     300, 100, 400; 255, 255, 0;
300, 0, 300;     400, 0, 300;     400, 0,   400;     300, 0, 400; 255, 255, 0;
300, 100, 300;     400, 100, 300;     400, 100,  400;  300, 100, 400; 255, 255, 0;
